回答者ID,レビュー,製品,年齢,性別
360,それは素敵で使いやすい優れた機能を使用して設計されています。大60GBのキャパシティーは素晴らしいです！カラーの画面が大好きです。,製品 A,35～44歳,男性
361,それは、働くためにOKです。製品Aを望んだが、贈り物としてこれを得た。,製品 D,18～24歳,女性
362,デザインの完成度、軽量、スリム、視覚的に魅力的。大きなハードドライブ,製品 A,35～44歳,男性
363,私の音楽がすべて入るために十分に大きい。また、バッテリーは永久に続く,製品 A,25～34歳,女性
364,色,製品 A,18～24歳,女性
365,カラーオプション,その他,45～54歳,男性
366,それは、いつ私のクラシックロックを聴くことができます。,製品 E,45～54歳,女性
367,サイズ,製品 A,25～34歳,男性
368,ポータブル、軽い、小さい、パワフル,製品 A,18～24歳,男性
369,どこにいても音楽を聴くことができる便利さ。すべて私の音楽を保存することができるので、いつでも、何でも、聞けます。,製品 A,25～34歳,男性
370,色,製品 B,25～34歳,女性
371,便利なサイズ,製品 A,35～44歳,女性
372,コンパクトである。その上に歌のロードを格納することができる。,製品 A,25～34歳,女性
373,使いやすい。,製品 A,18～24歳,女性
374,メモリの量,製品 D,18～24歳,女性
375,軽い、小さい,製品 B,18～24歳,女性
376,エンターテイメントを、仕事との間で旅行して提供します。,製品 D,18～24歳,男性
377,どこでも、いつでも使用できます,製品 D,18～24歳,男性
378,小さい、手頃な価格,その他,18歳以下,男性
379,コンパクトである,その他,25～34歳,男性
380,音楽以外のファイルを格納することができる、私のポケットに入るために十分に小さな、またFMラジオを持っている,製品 B,25～34歳,男性
381,信頼できる,製品 D,35～44歳,女性
382,使いやすさ,その他,25～34歳,女性
383,軽い、小さい,製品 A,35～44歳,男性
384,使いやすい、これは格好よく見えると、ちょうど他のプログラムを必要とせず、PCからそれに私の音楽をドラッグアンドドロップできます。また、ムービーを再生。,製品 E,25～34歳,男性
385,携帯できる。,製品 E,45～54歳,女性
386,それは多くの曲が入り、良い品質です。,製品 A,18～24歳,女性
387,音楽、使いやすく、良好な音質の多くが格納されます。,製品 A,25～34歳,男性
388,ラジオが入っているので、朝は電車でラジオを聴くことができ、午後、帰り道に音楽を聞くことができます。,製品 D,25～34歳,男性
389,ラジオ・チューナーもある。,製品 D,45～54歳,男性
390,これに入るトラックの数,製品 A,35～44歳,男性
391,充電式バッテリー,製品 B,18歳以下,女性
392,コンパクトさと便利さ,製品 A,54歳以上,男性
393,美的魅力,製品 D,18～24歳,男性
394,サイズとコスト,その他,25～34歳,男性
395,ラジオに内蔵,その他,35～44歳,男性
396,持ち運びが簡単,製品 A,35～44歳,男性
397,こじんまりとしたスタイリッシュさ,製品 A,35～44歳,男性
398,小さな、かなり安い,製品 A,45～54歳,男性
399,ラジオと優れたバッテリー寿命を内蔵していてとても安い。,その他,35～44歳,男性
400,軽量かつコンパクトです。,製品 D,35～44歳,男性
401,たくさんの音楽を保存することができます。使いやすいです。,製品 A,54歳以上,男性
402,容量と使いやすさです。,製品 A,25～34歳,男性
403,どこでもこれを持って行く取ことができる,製品 A,35～44歳,女性
404,まともな価格,その他,35～44歳,女性
405,プレゼントだった。私はこれを選んでいなかっただろう。製品Aを望んでいた。,製品 E,18歳以下,男性
